name,company,total_amount,% Outstanding,Lastest Change,share_price,industry
Ellen J Kullman ,Du Pont (Ei),408325,0.044,#N/A N/A,62.82,"Consumer,Cyclical"
Wesley G Bush ,Northrop Grumman,403976,0.182,#N/A N/A,114.84,"Consumer,Cyclical"
Gretchen W Mcclain ,Xylem Inc,401946,0.218,-4941,34.49,"Consumer,Cyclical"
William P Sullivan ,Agilent Tech Inc,401296,0.121,-940,58.28,"Consumer,Cyclical"
Paul M Bisaro ,Actavis Plc,399995,0.23,-40921,177.03,"Consumer,Cyclical"
David E I Pyott ,Allergan Inc,399152,0.134,#N/A N/A,115.55,"Consumer,Cyclical"
Murray S Kessler ,Lorillard Inc,399037,0.108,-37818,49.88,"Consumer,Cyclical"
Stephen M Dow ,Citrix Systems,398518,0.214,#N/A N/A,60.98,"Consumer,Cyclical"
Michael A Mussallem ,Edwards Life,396098,0.362,#N/A N/A,67.09,"Consumer,Cyclical"
James E Butts ,Ch Robinson,395857,0.261,-11500,56.45,"Consumer,Cyclical"
Richard W Dreiling ,Dollar General C,394742,0.123,-242877,59.38,"Consumer,Cyclical"
Robert B Pollock ,Assurant Inc,394439,0.542,-7940,67.18,"Consumer,Non-cyclical"
John P Surma Jr,Us Steel Corp,393158,0.272,-1978,29.63,"Consumer,Non-cyclical"
Donald R Chappel ,Williams Cos Inc,384058,0.056,#N/A N/A,39.02,"Consumer,Non-cyclical"
Craig Steven Donohue ,Cme Group Inc,382910,0.114,35420,77.17,"Consumer,Non-cyclical"
Gary L Coleman ,Torchmark Corp,381779,0.422,#N/A N/A,78.22,"Consumer,Non-cyclical"
Michael J Curcio ,E*Trade Financia,379927,0.132,-28752,20.69,"Consumer,Non-cyclical"
James W Stewart ,Baker Hughes Inc,379584,0.086,-7719,51.84,"Consumer,Non-cyclical"
Joseph A Sullivan ,Legg Mason Inc,374570,0.311,#N/A N/A,43.94,"Consumer,Non-cyclical"
Daniel Francis Akerson ,General Motors C,373653,0.027,23383,40.66,"Consumer,Non-cyclical"
Carl  Bass ,Autodesk Inc,372808,0.165,#N/A N/A,50.11,"Consumer,Non-cyclical"
Jingshyh S Su ,Yum! Brands Inc,369229,0.083,#N/A N/A,76.86,"Consumer,Non-cyclical"
Scott C Donnelly ,Textron Inc,363722,0.129,-6048,35.78,"Consumer,Non-cyclical"
Thomas J May ,Northeast Utils,356650,0.113,39,41.63,"Consumer,Non-cyclical"
Lonnie M Smith ,Intuitive Surgic,352780,0.927,-1500,375.515,"Consumer,Non-cyclical"
James P Rogers ,Eastman Chemical,352264,0.229,138915,78.86,"Consumer,Non-cyclical"
Thomas J Wilson ,Allstate Corp,350755,0.077,7349,53.3,"Consumer,Non-cyclical"
Randall J Hogan ,Pentair Ltd-Reg,349631,0.175,#N/A N/A,77.29,"Consumer,Non-cyclical"
Charles E Bunch ,Ppg Inds Inc,348653,0.245,22,189.58,"Consumer,Non-cyclical"
Richard S Sokolov ,Simon Property,347946,0.112,-325,154.28,"Consumer,Non-cyclical"
Theodore M Solso ,Cummins Inc,347537,0.185,-134602,139.36,"Consumer,Non-cyclical"
Michael D White ,Directv,347476,0.066,58179,69.58,"Consumer,Non-cyclical"
Clarence  Otis Jr,Darden Restauran,345552,0.263,27500,51.8,"Consumer,Non-cyclical"
William Charle Cobb ,H&R Block Inc,344978,0.126,#N/A N/A,29.12,"Consumer,Non-cyclical"
Thomas J Lynch ,Te Connectivity,339311,0.083,#N/A N/A,55.02,"Consumer,Non-cyclical"
John H Williams Sr,Wpx Energy,336317,0.167,#N/A N/A,19.32,"Consumer,Non-cyclical"
James T Hackett ,Anadarko Petrole,335727,0.067,48136,79.19,Energy
George S Barrett ,Cardinal Health,334102,0.098,#N/A N/A,66.53,Energy
Michael F Koehler ,Teradata Corp,325854,0.2,#N/A N/A,45.87,Energy
Eric Emerson Schmidt ,Google Inc-Cl A,322745,0.117,59,1138.38,Energy
James A Skinner ,Mcdonalds Corp,318603,0.032,20392,95.23,Energy
Kevin  Burke ,Cons Edison Inc,316876,0.108,#N/A N/A,53.47,Energy
Louis John Jeffry ,Gannett Co,316537,0.139,35305,29.85,Energy
Douglas M Baker Jr,Ecolab Inc,316104,0.105,-12088,104.14,Energy
John R Strangfeld Jr,Prudentl Finl,312862,0.068,-1517,91.27,Financial
Edward C Coppola ,Macerich Co,311650,0.222,-77,58.8,Financial
Alan L Boeckmann ,Fluor Corp,310973,0.19,30,79.25,Financial
William J Delaney ,Sysco Corp,310170,0.053,-8209,36.18,Financial
Peter A Magowan ,Caterpillar Inc,309624,0.049,1135,89.32,Financial
Pierre  Nanterme ,Accenture Plc-A,309015,0.049,7984,82,Financial
Richard J Harshman ,Allegheny Tech,306795,0.284,46706,35.15,Financial
James M Whitehurst ,Red Hat Inc,303978,0.16,-37500,56.91,Financial
James A Parke ,Genworth Financi,300000,0.061,25000,16.24,Financial
Donald E Felsinger ,Sempra Energy,288473,0.118,#N/A N/A,89.91,Financial
W Matthew Ralls ,Rowan Companie-A,282589,0.227,-12288,33.85,Financial
Gregory L Ebel ,Spectra Energ,279650,0.042,38080,34.87,Financial
Daniel W Rabun ,Ensco Plc-Cl A,279513,0.12,-87666,56.43,Financial
Charles Wick Moorman ,Norfolk Southern,279342,0.09,#N/A N/A,89.24,Financial
Jeff Maurice Fettig ,Whirlpool Corp,277789,0.354,-410,156.48,Financial
Jeffrey M Ettinger ,Hormel Foods Crp,277457,0.105,34416,44.95,Financial
Michael W Laphen ,Computer Science,273130,0.186,120915,56.37,Financial
Joseph M Rigby ,Pepco Holdings,270961,0.108,#N/A N/A,18.72,Industrial
Stephen  Kaufer ,Tripadvisor Inc,269884,0.209,2597,84.92,Industrial
Gregory H Boyce ,Peabody Energy,269196,0.1,#N/A N/A,18.17,Industrial
Michael G Morris ,American Electri,268285,0.055,#N/A N/A,46.11,Industrial
Steve  Ells ,Chipotle Mexican,264474,0.855,#N/A N/A,532.8,Industrial
Gerard M Anderson ,Dte Energy Co,264194,0.149,#N/A N/A,65.23,Industrial
Herbert A Fritch ,Cigna Corp,263040,0.095,20907,87.88,Industrial
Kenneth C Frazier ,Merck & Co,262532,0.009,19970,49.87,Industrial
Murray D Martin ,Pitney Bowes Inc,261399,0.129,48886,23.6,Industrial
George L Chapman ,Health Care Reit,261281,0.091,1959,53.89,Industrial
William H Schumann ,Fmc Technologies,259175,0.11,-49676,51.56,Technology
Gary D Packer ,Newfield Explora,258371,0.19,3112,24.86,Technology
Henry J Theisen ,Bemis Co,255499,0.248,-720,40.5,Technology
Naren K Gursahaney ,Adt Corp/The,252589,0.125,-892,39.91,Technology
Steven R Shawley ,Ingersoll-Rand,251595,0.087,#N/A N/A,61.68,Technology
Larry D Young ,Dr Pepper Snappl,250000,0.125,-74103,47.88,Technology
Rick R Holley ,Plum Creek Timbr,249671,0.141,#N/A N/A,43.78,Technology
Raymond J Lane ,Hewlett-Packard,248392,0.013,#N/A N/A,27.72,Technology
Laura J Schumacher ,Abbvie Inc,247296,0.016,1547,50.4,Technology
Paasschen Frits D Van ,Starwood Hotels,246994,0.129,8458,77.76,Technology
Richard J Kramer ,Goodyear Tire,246868,0.1,3203,24.34,Utilities
Michael B Mccallister ,Humana Inc,245023,0.157,2026,99.24,Utilities
Donald W Slager ,Republic Svcs,244061,0.068,-30031,32.56,Basic materials
William J Wheeler ,Metlife Inc,241837,0.022,1129,54.04,Basic materials
John E Mcglade ,Air Prods & Chem,239853,0.114,-8896,109.88,Basic materials
Michael J Kowalski ,Tiffany & Co,234409,0.183,#N/A N/A,91.71,Basic materials
Anthony F Earley Jr,Pg&E Corp,229556,0.051,-12627,39.84,Communications
Mark  Donegan ,Precision Castpt,226258,0.156,#N/A N/A,268.15,Communications
Gregory J Goff ,Tesoro Corp,224314,0.169,-9513,56.72,Communications
Robert F Moran ,Petsmart Inc,221232,0.213,#N/A N/A,69.11,Communications
Gary R Heminger ,Marathon Petrole,220863,0.073,-473,87.61,Communications
Mathis  Cabiallavetta ,Marsh & Mclennan,219101,0.04,#N/A N/A,47.82,Communications
Pierre R Brondeau ,Fmc Corp,217897,0.163,7858,74.53,Communications
Jose E Almeida ,Covidien Plc,213154,0.047,#N/A N/A,68.23,Communications
Lowell C Mcadam ,Verizon Communic,212641,0.007,76,48.8,Communications
Hikmet T Ersek ,Western Union,208394,0.038,983,17.62,Communications
Robert J Stevens ,Lockheed Martin,208337,0.065,6481,148.34,Communications
Larry Donald Zimpleman ,Principal Finl,208314,0.071,#N/A N/A,49.1,Communications
Clayton M Jones ,Rockwell Collins,206904,0.153,-4028,75.66,"Consumer,Cyclical"
Joseph A Carrabba ,Cliffs Natural R,206724,0.135,-49950,24.81,"Consumer,Cyclical"
Steven H Collis ,Amerisourceberge,205148,0.089,19565,71.19,"Consumer,Cyclical"
Benjamin G S Fowke ,Xcel Energy Inc,200941,0.04,-6709,27.73,"Consumer,Cyclical"
Jeffery H Boyd ,Priceline.Com,199554,0.388,-1800,1160.5,"Consumer,Cyclical"
James M Jenness ,Kellogg Co,196662,0.054,#N/A N/A,60.25,"Consumer,Cyclical"
Timothy M Ring ,Cr Bard Inc,196242,0.252,#N/A N/A,132.58,"Consumer,Cyclical"
Michael S Mcgavick ,Xl Group Plc,192090,0.068,24975,30.27,"Consumer,Cyclical"
Raymond W Mcdaniel Jr,Moody'S Corp,189006,0.088,2,77.09,"Consumer,Cyclical"
Robert H Benmosche ,American Interna,186486,0.013,4429,51.46,"Consumer,Cyclical"
John W Somerhalder ,Agl Resources,185987,0.157,-3499,46.23,"Consumer,Cyclical"
Theodore F Craver Jr,Edison Intl,185814,0.057,#N/A N/A,45.01,"Consumer,Cyclical"
Michael W Sutherlin ,Joy Global Inc,184918,0.181,#N/A N/A,55.18,"Consumer,Non-cyclical"
Nicholas T Pinchuk ,Snap-On Inc,181401,0.312,25026,107.52,"Consumer,Non-cyclical"
Gilbert S Omenn ,Amgen Inc,178520,0.024,#N/A N/A,116.44,"Consumer,Non-cyclical"
Joseph R Hyde ,Autozone Inc,176866,0.525,#N/A N/A,485.23,"Consumer,Non-cyclical"
David C Dvorak ,Zimmer Hldgs,172746,0.101,8793,96.65,"Consumer,Non-cyclical"
Mark A Blinn ,Flowserve Corp,171663,0.123,-84000,77.16,"Consumer,Non-cyclical"
John T Cahill ,Kraft Foods Grou,169745,0.028,#N/A N/A,53.4,"Consumer,Non-cyclical"
Martin Hans Loeffler ,Amphenol Corp-A,167883,0.106,1603,88.21,"Consumer,Non-cyclical"
Russell C Deyo ,Johnson&Johnson,166718,0.006,-156,94.192,"Consumer,Non-cyclical"
Arthur D Levinson ,Apple Inc,164136,0.018,-63,543.75,"Consumer,Non-cyclical"
Robert A Hagemann ,Quest Diagnostic,162520,0.112,3441,53.26,"Consumer,Non-cyclical"
Glenn A Britt ,Time Warner Cabl,158976,0.056,#N/A N/A,133.76,"Consumer,Non-cyclical"
Stephen F Angel ,Praxair Inc,151910,0.052,#N/A N/A,130.26,"Consumer,Non-cyclical"
F Michael Ball ,Hospira Inc,148371,0.089,-14965,41.18,"Consumer,Non-cyclical"
Kieran T Gallahue ,Carefusion Corp,147873,0.07,-25000,40.15,"Consumer,Non-cyclical"
Timothy M Archer ,Lam Research,147602,0.091,-19483,54.16,"Consumer,Non-cyclical"
James T Prokopanko ,Mosaic Co/The,143580,0.048,24822,46.78,"Consumer,Non-cyclical"
Bryce  Blair ,Avalonbay Commun,143034,0.111,345,121.61,"Consumer,Non-cyclical"
William E Mccracken ,Ca Inc,133878,0.03,-1807,33.43,"Consumer,Non-cyclical"
Daniel M Delen ,Reynolds America,131451,0.024,-23005,48.49,"Consumer,Non-cyclical"
Sara  Mathew ,Dun & Bradstreet,130829,0.343,#N/A N/A,122.44,"Consumer,Non-cyclical"
Carlos A Rodriguez ,Automatic Data,130085,0.027,162,80.07,"Consumer,Non-cyclical"
Donald M James ,Vulcan Materials,127880,0.098,13155,59.44,"Consumer,Non-cyclical"
Dinesh C Paliwal ,Harman Intl,127846,0.189,-23002,83.01,"Consumer,Non-cyclical"
Gregory T Swienton ,Ryder System Inc,127276,0.242,-1142,72.06,"Consumer,Non-cyclical"
John P Bilbrey ,Hershey Co/The,126685,0.078,#N/A N/A,97.63,Energy
Gale E Klappa ,Wisconsin Energy,123693,0.055,52,40.86,Energy
Donald R Knauss ,Clorox Co,123487,0.096,134,88.99,Energy
Dean A Scarborough ,Avery Dennison,117003,0.121,-23073,49.82,Energy
Lori A Beer ,Wellpoint Inc,113955,0.039,#N/A N/A,91.3,Energy
James M Cornelius ,Mead Johnson,112554,0.056,10000,83.84,Energy
Timothy E Guertin ,Varian Medical S,110015,0.104,4849,80.42,Energy
Michael J Ahearn ,First Solar Inc,109847,0.11,916,52.77,Energy
David P King ,Laboratory Cp,107386,0.123,#N/A N/A,91.62,Financial
Craig P Omtvedt ,Beam Inc,104927,0.064,#N/A N/A,65.95,Financial
Byron H Pollitt Jr,Visa Inc-Class A,103252,0.02,8132,222.11,Financial
John J Mcdevitt ,United Parcel-B,103116,0.014,#N/A N/A,101.69,Financial
Samuel R Allen ,Deere & Co,101691,0.027,#N/A N/A,89.74,Financial
James D Taiclet Jr,American Tower C,101671,0.026,#N/A N/A,82,Financial
Stephen R Wilson ,Cf Industries Ho,99327,0.173,-45100,232.83,Financial
Donald E Brandt ,Pinnacle West,99145,0.09,14866,51.98,Financial
John S Watson ,Chevron Corp,98069,0.005,#N/A N/A,123.42,Financial
Leslie A Jones ,Dentsply Intl,97892,0.069,-2000,48.7,Financial
Moshe N Gavrielov ,Xilinx Inc,95850,0.036,#N/A N/A,45.74,Financial
Frank J Caufield ,Time Warner Inc,95443,0.011,862,66.29,Financial
James H Miller ,Ppl Corporation,88758,0.014,28277,29.61,Financial
John  Mcadam ,F5 Networks,86751,0.112,-16000,89.98,Financial
Russell D Ball ,Newmont Mining,78808,0.016,9280,23.5,Financial
Thomas R Voss ,Ameren Corp,78413,0.032,#N/A N/A,35.99,Financial
Kirk A Richter ,Sigma-Aldrich,77834,0.065,977,93.05,Financial
Liam E Mcgee ,Hartford Finl Sv,76178,0.017,#N/A N/A,35.52,Industrial
John E Lowe ,Conocophillips,72470,0.006,-3187,69.66,Industrial
Daniel R Pearson ,Harris Corp,69556,0.065,11205,68.17,Industrial
Inge G Thulin ,3M Co,63145,0.009,20,137.33,Industrial
Steven L Newman ,Transocean Ltd,61066,0.017,-2672,48.31,Industrial
Jon A Boscia ,Southern Co,59000,0.007,#N/A N/A,40.37,Industrial
William F Protz Jr,Integrys Energy,52406,0.066,90,53.37,Industrial
Lawrence D Kingsley ,Pall Corp,51247,0.046,#N/A N/A,83.97,Industrial
George A Scangos ,Biogen Idec Inc,49800,0.021,-2239,284.4,Industrial
John E Lowe ,Phillips 66,46896,0.008,-4999,76.48,Industrial
Edward W Barnholt ,Kla-Tencor Corp,42976,0.026,#N/A N/A,62.39,Technology
Timothy  Eckersley ,Allegion Plc,41820,0.043,#N/A N/A,43.99,Technology
Kevin B Marsh ,Scana Corp,40258,0.029,1304,45.84,Technology
Donald E Graham ,Graham Holding-B,31199,0.502,#N/A N/A,659.84,Technology
Emanuel  Chirico ,Pvh Corp,28372,0.035,10,133.35,Technology
Ajaypal S Banga ,Mastercard Inc-A,27207,0.023,-1500,838.1,Technology
William E Stevens ,Mccormick-N/V,22400,0.019,-2367,68.08,Technology
David J Peniket ,Intercontinental,18205,0.016,5120,226,Technology
Lawrence R Dickerson ,Diamond Offshore,9863,0.007,#N/A N/A,55.52,Technology
James C Tomshack ,Perrigo Co Plc,8914,0.007,#N/A N/A,157.16,Technology
Michael B Mccallister ,Zoetis Inc,7000,0.001,#N/A N/A,31.99,Utilities
Peter Leslie Barnes ,News Corp-Cl A,1989,0.001,#N/A N/A,17.215,Utilities
